"EEP1";"EEP2";"EEP3";"EEP4";"EEP5";"EEP6";"EEP7";"EEP8";"EEP9";"EEP10";"Idade";"Sexo"
4;2;3;2;4;2;2;3;3;3;25;2
3;3;3;2;2;2;2;3;2;2;20;2
2;2;2;1;2;1;2;2;2;1;23;2
5;2;5;1;1;5;2;3;4;1;31;2
2;2;2;1;1;1;1;1;2;1;30;2
3;3;2;2;2;1;3;4;4;1;36;2
4;3;4;2;2;3;3;3;3;3;30;2
5;5;5;2;3;3;2;3;5;2;27;2
3;2;3;2;1;2;3;3;3;1;26;2
3;3;2;2;2;2;1;3;2;2;48;2
3;3;4;2;1;3;2;2;3;2;24;2
3;1;2;2;1;3;1;1;2;1;28;2
2;1;1;1;1;1;1;1;1;1;45;2
3;2;3;3;3;3;2;2;4;4;38;2
4;2;5;1;1;2;2;1;4;1;21;2
2;2;2;1;1;1;1;2;2;1;23;2
3;3;3;3;3;4;3;2;3;4;27;2
5;3;4;2;3;3;3;3;5;1;27;2
4;3;5;3;3;4;3;3;4;4;39;2
2;3;1;2;3;3;1;3;2;1;50;2
5;4;5;2;1;4;2;3;5;2;23;2
2;2;2;2;3;3;1;3;2;2;21;2
5;5;5;1;1;5;1;1;5;5;18;2
4;4;5;4;5;4;4;5;5;5;24;2
4;2;5;3;2;4;3;3;4;3;32;2
4;2;3;2;4;4;3;2;2;1;26;2
3;4;4;4;4;4;3;5;3;4;39;2
2;2;2;1;1;4;2;2;2;2;52;2
3;1;3;3;3;2;2;1;2;1;30;2
3;4;3;2;4;5;1;5;4;4;31;2
3;2;3;1;1;1;1;1;3;1;26;2
5;2;3;2;4;2;2;3;4;2;55;2
2;3;3;1;2;4;3;4;3;2;42;2
4;2;2;3;2;2;2;2;4;1;33;2
2;3;3;4;2;4;2;3;2;2;31;2
4;3;3;3;2;4;2;2;2;1;29;2
2;2;2;2;1;1;2;3;2;2;38;2
2;3;3;2;3;2;3;3;3;2;33;2
4;3;5;2;2;3;2;3;4;2;27;2
2;1;1;1;1;1;1;1;1;1;47;2
5;5;5;3;3;5;5;3;5;5;26;2
5;4;5;3;2;5;4;4;5;5;32;2
3;2;2;5;4;2;4;4;2;2;27;2
3;2;5;1;2;4;3;4;4;3;20;2
2;1;2;2;1;2;4;2;3;2;25;2
3;2;2;3;3;3;2;2;3;2;46;2
3;1;3;3;1;3;1;1;1;2;26;2
3;2;4;2;2;2;2;3;3;1;55;2
3;2;4;1;2;4;2;2;3;1;28;2
3;2;2;2;2;3;1;2;2;2;38;2
3;2;3;2;3;3;3;3;4;3;36;2
2;1;5;4;3;4;2;4;3;1;30;2
3;2;2;2;4;2;2;3;3;2;28;2
3;2;2;2;2;2;2;2;2;1;29;2
4;4;5;3;3;4;2;4;4;2;34;2
2;3;4;2;2;3;4;4;4;4;37;2
3;3;3;3;4;4;3;4;4;2;42;2
5;3;4;1;3;3;2;2;5;1;48;2
5;5;5;3;4;4;4;5;4;3;25;2
3;3;2;1;1;4;2;2;3;3;33;2
4;3;4;3;4;2;4;2;5;5;22;2
4;4;4;2;4;4;3;4;2;3;28;2
3;2;4;2;2;3;3;3;3;2;34;2
5;3;3;4;3;5;4;3;4;3;27;2
5;4;5;4;3;4;4;5;3;3;32;2
3;2;4;1;2;2;2;2;2;1;26;2
3;2;4;2;2;2;3;3;4;2;36;2
2;2;2;1;2;1;1;1;2;1;51;2
3;3;3;3;3;3;3;3;3;2;31;2
3;2;2;1;1;2;1;1;2;2;63;2
2;2;2;3;4;3;3;3;4;3;30;2
2;2;2;3;4;2;3;3;4;1;27;2
4;4;5;1;1;1;1;2;3;2;27;2
2;3;2;3;3;2;3;3;3;2;30;2
3;2;4;3;2;4;2;3;4;3;47;2
2;1;2;2;2;2;2;2;2;2;31;2
2;2;2;1;2;5;2;2;2;1;38;2
3;4;5;3;2;4;3;3;4;4;27;2
2;2;2;3;2;2;2;3;2;1;24;2
3;2;4;3;3;4;3;4;4;4;24;2
2;3;4;2;3;3;1;1;3;2;24;2
4;4;3;2;2;4;4;5;4;3;20;2
3;4;4;3;3;4;3;3;4;3;31;2
4;5;5;3;2;4;4;3;5;4;28;2
3;2;2;2;2;4;2;2;3;2;54;2
2;2;2;1;2;2;2;2;2;1;35;2
3;2;3;3;3;3;3;4;2;2;32;2
2;5;2;3;3;4;1;2;3;2;19;2
2;2;4;3;3;4;3;3;4;4;26;2
2;1;2;2;2;4;1;2;1;1;24;2
3;4;5;4;4;5;3;4;2;3;31;2
3;3;4;2;2;4;2;2;4;4;28;2
4;3;5;2;3;5;2;2;5;5;32;2
2;2;2;2;2;2;2;2;2;2;48;2
3;2;3;1;1;3;2;2;2;2;33;2
2;1;2;1;1;2;1;2;2;1;44;2
4;3;4;2;3;3;2;3;3;3;36;2
2;2;2;1;2;2;1;1;4;2;49;2
4;3;4;2;2;3;3;3;3;3;25;2
3;3;3;3;3;1;1;1;2;1;34;2
2;2;2;4;1;2;4;1;3;2;51;2
2;2;2;2;2;2;2;2;2;2;45;2
2;1;2;1;1;2;4;2;2;1;43;2
4;3;4;2;3;3;3;3;3;2;42;2
3;4;4;4;4;2;2;4;4;4;48;2
3;3;3;3;2;3;3;3;2;2;26;2
5;5;4;4;4;2;2;3;3;3;45;2
5;5;5;3;2;3;2;2;4;2;28;2
3;5;2;4;5;4;3;5;4;2;33;2
5;5;3;5;5;1;1;5;5;3;35;2
2;2;2;4;3;2;2;2;2;2;31;2
3;3;2;2;2;2;2;3;2;2;28;2
2;3;3;4;4;2;4;5;2;2;26;2
3;2;2;3;2;3;2;2;3;1;26;2
4;2;3;2;2;1;2;2;2;2;52;2
5;4;3;3;4;4;2;3;4;3;48;2
5;1;2;1;1;5;1;1;2;2;44;2
2;2;2;1;1;1;1;2;1;1;55;2
3;3;3;2;2;4;2;1;4;4;27;2
4;4;4;3;3;2;3;3;5;4;49;2
2;2;4;3;2;2;3;5;4;2;58;2
2;2;4;2;3;2;2;3;4;1;26;2
2;2;2;4;4;2;4;4;2;2;43;2
5;5;5;4;4;5;3;5;5;4;25;2
3;2;3;2;2;4;4;2;2;1;43;2
4;3;3;3;4;4;4;4;3;3;19;2
3;3;3;3;2;2;3;2;3;3;38;2
1;5;2;1;1;1;1;1;1;1;38;2
3;3;3;3;2;3;3;3;2;2;52;2
3;3;4;4;2;2;1;1;2;4;54;2
5;4;4;1;2;2;2;3;4;2;47;2
2;2;2;1;2;2;1;2;2;1;42;2
3;2;2;1;1;3;2;2;2;2;26;2
4;4;2;2;2;4;2;2;4;2;43;2
2;1;3;1;2;2;1;1;4;2;56;2
3;3;1;1;1;2;4;4;2;2;33;2
4;4;3;2;3;3;2;3;2;3;53;2
4;2;2;2;2;2;2;3;4;2;34;2
3;2;3;2;2;2;3;2;4;2;54;2
4;4;2;4;3;3;2;3;3;4;31;2
3;2;2;1;2;2;2;2;3;2;49;2
5;5;5;2;4;4;3;4;5;4;39;2
3;4;3;1;1;4;3;3;3;3;58;2
3;3;3;3;3;3;3;3;3;3;29;2
4;3;4;3;3;3;3;3;3;3;32;2
4;4;4;3;3;4;3;4;4;2;58;2
2;2;2;1;1;5;2;2;5;1;32;2
2;2;3;1;2;3;4;2;4;2;59;2
2;3;2;3;3;2;2;2;3;2;39;2
2;2;3;3;3;3;2;4;3;3;45;2
3;2;2;4;1;2;1;1;4;3;45;2
2;1;2;4;1;1;1;2;1;1;33;2
3;2;3;2;2;5;2;4;3;3;27;2
5;3;4;4;3;2;4;4;2;3;35;2
3;3;2;4;3;4;3;3;4;2;52;2
2;2;5;2;2;3;2;3;4;3;46;2
2;2;2;2;3;3;3;3;2;2;42;2
4;3;3;2;1;3;3;2;4;3;26;2
2;1;2;1;2;3;2;2;2;1;46;2
3;2;2;4;4;2;2;4;2;1;47;2
5;4;4;3;3;4;3;4;4;4;49;2
2;4;5;3;3;5;2;2;4;4;33;2
4;3;3;2;2;2;2;2;3;2;46;2
5;5;5;4;4;1;4;4;3;5;56;2
4;3;3;2;2;4;3;4;4;4;55;2
3;3;3;2;3;3;3;3;3;3;71;2
3;2;2;1;1;2;2;3;3;2;34;2
3;1;3;1;2;3;1;3;3;2;33;2
2;2;3;3;3;3;2;3;4;2;35;2
5;3;2;1;1;2;1;1;5;1;30;2
4;4;5;4;4;4;4;5;5;2;35;2
4;2;4;2;3;2;4;3;2;4;25;2
4;4;2;2;2;2;3;2;2;2;46;2
2;2;2;2;3;3;3;3;3;2;30;2
3;2;2;2;2;2;3;4;3;3;44;2
5;3;3;3;3;4;3;3;4;4;20;2
2;1;2;1;1;2;1;1;1;1;38;2
